x,y
-5.35500000,0.19970653
-5.35400000,0.15444027
-5.35300000,0.11004965
-5.35200000,0.06654326
-5.35100000,0.02392987
-5.35000000,-0.01778154
-5.34900000,-0.05858179
-5.34800000,-0.09846150
-5.34700000,-0.13741108
-5.34600000,-0.17542072
-5.34500000,-0.21248043
-5.34400000,-0.24857995
-5.34300000,-0.28370885
-5.34200000,-0.31785645
-5.34100000,-0.35101185
-5.34000000,-0.38316391
-5.33900000,-0.41430127
-5.33800000,-0.44441232
-5.33700000,-0.47348523
-5.33600000,-0.50150789
-5.33500000,-0.52846798
-5.33400000,-0.55435289
-5.33300000,-0.57914979
-5.33200000,-0.60284556
-5.33100000,-0.62542683
-5.33000000,-0.64687995
-5.32900000,-0.66719101
-5.32800000,-0.68634581
-5.32700000,-0.70432987
-5.32600000,-0.72112844
-5.32500000,-0.73672646
-5.32400000,-0.75110857
-5.32300000,-0.76425912
-5.32200000,-0.77616216
-5.32100000,-0.78680142
-5.32000000,-0.79616030
-5.31900000,-0.80422191
-5.31800000,-0.81096901
-5.31700000,-0.81638404
-5.31600000,-0.82044909
-5.31500000,-0.82314592
-5.31400000,-0.82445594
-5.31300000,-0.82436020
-5.31200000,-0.82283938
-5.31100000,-0.81987383
-5.31000000,-0.81544348
-5.30900000,-0.80952791
-5.30800000,-0.80210631
-5.30700000,-0.79315748
-5.30600000,-0.78265982
-5.30500000,-0.77059131
-5.30400000,-0.75692954
-5.30300000,-0.74165168
-5.30200000,-0.72473445
-5.30100000,-0.70615416
-5.30000000,-0.68588667
-5.29900000,-0.66390739
-5.29800000,-0.64019127
-5.29700000,-0.61471282
-5.29600000,-0.58744604
-5.29500000,-0.55836448
-5.29400000,-0.52744118
-5.29300000,-0.49464871
-5.29200000,-0.45995909
-5.29100000,-0.42334387
-5.29000000,-0.38477405
-5.28900000,-0.34422011
-5.28800000,-0.30165197
-5.28700000,-0.25703902
-5.28600000,-0.21035007
-5.28500000,-0.16155337
-5.28400000,-0.11061657
-5.28300000,-0.05750676
-5.28200000,-0.00219039
-5.28100000,0.05536667
-5.28000000,0.11519921
-5.27900000,0.17734262
-5.27800000,0.24183295
-5.27700000,0.30870693
-5.27600000,0.37800194
-5.27500000,0.44975604
-5.27400000,0.52400799
-5.27300000,0.60079726
-5.27200000,0.68016404
-5.27100000,0.76214925
-5.27000000,0.84679457
-5.26900000,0.93414243
-5.26800000,1.02423602
-5.26700000,1.11711934
-5.26600000,1.21283720
-5.26500000,1.31143519
-5.26400000,1.41295978
-5.26300000,1.51745825
-5.26200000,1.62497876
-5.26100000,1.73557035
-5.26000000,1.84928296
-5.25900000,1.96616743
-5.25800000,2.08627553
-5.25700000,2.20965999
-5.25600000,2.33637449
-5.25500000,2.46647371
-5.25400000,2.60001331
-5.25300000,2.73704998
-5.25200000,2.87764144
-5.25100000,3.02184649
-5.25000000,3.16972498
-5.24900000,3.32133787
-5.24800000,3.47674725
-5.24700000,3.63601632
-5.24600000,3.79920947
-5.24500000,3.96639227
-5.24400000,4.13763148
-5.24300000,4.31299509
-5.24200000,4.49255237
-5.24100000,4.67637382
-5.24000000,4.86453129
-5.23900000,5.05709792
-5.23800000,5.25414821
-5.23700000,5.45575805
-5.23600000,5.66200470
-5.23500000,5.87296689
-5.23400000,6.08872478
-5.23300000,6.30936002
-5.23200000,6.53495579
-5.23100000,6.76559680
-5.23000000,7.00136934
-5.22900000,7.24236128
-5.22800000,7.48866217
-5.22700000,7.74036320
-5.22600000,7.99755725
-5.22500000,8.26033897
-5.22400000,8.52880474
-5.22300000,8.80305276
-5.22200000,9.08318306
-5.22100000,9.36929756
-5.22000000,9.66150008
-5.21900000,9.95989638
-5.21800000,10.26459422
-5.21700000,10.57570338
-5.21600000,10.89333571
-5.21500000,11.21760517
-5.21400000,11.54862787
-5.21300000,11.88652211
-5.21200000,12.23140842
-5.21100000,12.58340963
-5.21000000,12.94265088
-5.20900000,13.30925970
-5.20800000,13.68336602
-5.20700000,14.06510228
-5.20600000,14.45460339
-5.20500000,14.85200689
-5.20400000,15.25745288
-5.20300000,15.67108420
-5.20200000,16.09304639
-5.20100000,16.52348778
-5.20000000,16.96255954
-5.19900000,17.41041576
-5.19800000,17.86721350
-5.19700000,18.33311281
-5.19600000,18.80827685
-5.19500000,19.29287193
-5.19400000,19.78706757
-5.19300000,20.29103659
-5.19200000,20.80495511
-5.19100000,21.32900274
-5.19000000,21.86336252
-5.18900000,22.40822108
-5.18800000,22.96376869
-5.18700000,23.53019934
-5.18600000,24.10771078
-5.18500000,24.69650468
-5.18400000,25.29678661
-5.18300000,25.90876623
-5.18200000,26.53265728
-5.18100000,27.16867774
-5.18000000,27.81704987
-5.17900000,28.47800032
-5.17800000,29.15176024
-5.17700000,29.83856534
-5.17600000,30.53865603
-5.17500000,31.25227748
-5.17400000,31.97967974
-5.17300000,32.72111786
-5.17200000,33.47685198
-5.17100000,34.24714743
-2.65172200,26.90281283
-2.65171200,26.75372729
-2.65170200,26.60521927
-2.65169200,26.45728729
-2.65168200,26.30992988
-2.65167200,26.16314558
-2.65166200,26.01693293
-2.65165200,25.87129046
-2.65164200,25.72621672
-2.65163200,25.58171026
-2.65162200,25.43776962
-2.65161200,25.29439335
-2.65160200,25.15158002
-2.65159200,25.00932817
-2.65158200,24.86763638
-2.65157200,24.72650321
-2.65156200,24.58592722
-2.65155200,24.44590699
-2.65154200,24.30644108
-2.65153200,24.16752809
-2.65152200,24.02916659
-2.65151200,23.89135516
-2.65150200,23.75409239
-2.65149200,23.61737687
-2.65148200,23.48120719
-2.65147200,23.34558194
-2.65146200,23.21049974
-2.65145200,23.07595917
-2.65144200,22.94195885
-2.65143200,22.80849738
-2.65142200,22.67557337
-2.65141200,22.54318544
-2.65140200,22.41133220
-2.65139200,22.28001227
-2.65138200,22.14922429
-2.65137200,22.01896686
-2.65136200,21.88923863
-2.65135200,21.76003822
-2.65134200,21.63136427
-2.65133200,21.50321542
-2.65132200,21.37559031
-2.65131200,21.24848758
-2.65130200,21.12190587
-2.65129200,20.99584385
-2.65128200,20.87030016
-2.65127200,20.74527345
-2.65126200,20.62076239
-2.65125200,20.49676564
-2.65124200,20.37328186
-2.65123200,20.25030972
-2.65122200,20.12784789
-2.65121200,20.00589504
-2.65120200,19.88444985
-2.65119200,19.76351100
-2.65118200,19.64307717
-2.65117200,19.52314704
-2.65116200,19.40371930
-2.65115200,19.28479265
-2.65114200,19.16636577
-2.65113200,19.04843736
-2.65112200,18.93100613
-2.65111200,18.81407077
-2.65110200,18.69762998
-2.65109200,18.58168248
-2.65108200,18.46622697
-2.65107200,18.35126218
-2.65106200,18.23678681
-2.65105200,18.12279958
-2.65104200,18.00929921
-2.65103200,17.89628444
-2.65102200,17.78375398
-2.65101200,17.67170657
-2.65100200,17.56014094
-2.65099200,17.44905582
-2.65098200,17.33844996
-2.65097200,17.22832209
-2.65096200,17.11867096
-2.65095200,17.00949531
-2.65094200,16.90079390
-2.65093200,16.79256547
-2.65092200,16.68480879
-2.65091200,16.57752260
-2.65090200,16.47070567
-2.65089200,16.36435677
-2.65088200,16.25847465
-2.65087200,16.15305809
-2.65086200,16.04810585
-2.65085200,15.94361672
-2.65084200,15.83958946
-2.65083200,15.73602286
-2.65082200,15.63291570
-2.65081200,15.53026676
-2.65080200,15.42807483
-2.65079200,15.32633870
-2.65078200,15.22505717
-2.65077200,15.12422902
-2.65076200,15.02385306
-2.65075200,14.92392809
-2.65074200,14.82445290
-2.65073200,14.72542631
-2.65072200,14.62684713
-2.65071200,14.52871416
-2.65070200,14.43102621
-2.65069200,14.33378212
-2.65068200,14.23698068
-2.65067200,14.14062073
-2.65066200,14.04470109
-2.65065200,13.94922059
-2.65064200,13.85417805
-2.65063200,13.75957231
-2.65062200,13.66540220
-2.65061200,13.57166656
-2.65060200,13.47836423
-2.65059200,13.38549405
-2.65058200,13.29305486
-2.65057200,13.20104552
-2.65056200,13.10946486
-2.65055200,13.01831176
-2.65054200,12.92758505
-2.65053200,12.83728359
-2.65052200,12.74740626
-2.65051200,12.65795190
-2.65050200,12.56891939
-2.65049200,12.48030758
-2.65048200,12.39211536
-2.65047200,12.30434160
-2.65046200,12.21698516
-2.65045200,12.13004493
-2.65044200,12.04351978
-2.65043200,11.95740860
-2.65042200,11.87171028
-2.65041200,11.78642370
-2.65040200,11.70154775
-2.65039200,11.61708132
-2.65038200,11.53302331
-2.65037200,11.44937261
-2.65036200,11.36612813
-2.65035200,11.28328876
-2.65034200,11.20085342
-2.65033200,11.11882100
-2.65032200,11.03719043
-2.65031200,10.95596060
-2.65030200,10.87513043
-2.65029200,10.79469885
-2.65028200,10.71466476
-2.65027200,10.63502710
-2.65026200,10.55578478
-2.65025200,10.47693673
-2.65024200,10.39848188
-2.65023200,10.32041916
-2.65022200,10.24274751
-2.65021200,10.16546585
-2.65020200,10.08857313
-2.65019200,10.01206829
-2.65018200,9.93595027
-2.65017200,9.86021802
-2.65016200,9.78487048
-2.65015200,9.70990661
-2.65014200,9.63532535
-2.65013200,9.56112566
-2.65012200,9.48730650
-2.65011200,9.41386682
-2.65010200,9.34080559
-2.65009200,9.26812178
-2.65008200,9.19581434
-2.65007200,9.12388225
-2.65006200,9.05232448
-2.65005200,8.98113999
-2.65004200,8.91032778
-2.65003200,8.83988680
-2.65002200,8.76981605
-2.65001200,8.70011451
-2.65000200,8.63078115
-2.64999200,8.56181497
-2.64998200,8.49321496
-2.64997200,8.42498011
-2.64996200,8.35710940
-2.64995200,8.28960185
-2.64994200,8.22245643
-2.64993200,8.15567216
-2.64992200,8.08924804
-2.64991200,8.02318307
-2.64990200,7.95747626
-2.64989200,7.89212662
-2.64988200,7.82713316
-2.64987200,7.76249489
-2.64986200,7.69821083
-2.64985200,7.63428000
-2.64984200,7.57070141
-2.64983200,7.50747410
-2.64982200,7.44459708
-2.64981200,7.38206938
-2.64980200,7.31989003
-2.64979200,7.25805806
-2.64978200,7.19657251
-2.64977200,7.13543241
-2.64976200,7.07463680
-2.64975200,7.01418471
-2.64974200,6.95407520
-2.64973200,6.89430730
-2.64972200,6.83488006
-2.64971200,6.77579253
-2.64970200,6.71704376
-2.64969200,6.65863280
-2.64968200,6.60055871
-2.64967200,6.54282054
-2.64966200,6.48541736
-2.64965200,6.42834822
-2.64964200,6.37161219
-2.64963200,6.31520834
-2.64962200,6.25913572
-2.64961200,6.20339342
-2.64960200,6.14798050
-2.64959200,6.09289603
-2.64958200,6.03813910
-2.64957200,5.98370878
-2.64956200,5.92960415
-2.64955200,5.87582429
-2.64954200,5.82236829
-2.64953200,5.76923524
-2.64952200,5.71642421
-2.64951200,5.66393431
-2.64950200,5.61176463
-2.64949200,5.55991425
-2.64948200,5.50838228
-2.64947200,5.45716781
-2.64946200,5.40626995
-2.64945200,5.35568780
